日付,場名,R,競走名,条件,格,距離,馬場,状態,天候,出走馬名,騎手,性齢,斤量,頭数,人気,単勝,結果,タイム,上り,着差,馬体重,増減,賞金,Rt,管理調教師,母父名,venue_type,race_class
2025-10-04,京都,5,メイクデビュー京都,2歳新馬,,2000,芝,重,小雨,ライトフライヤー,岩田望来,牡2,56.0,14,5,12.8,12,2:04.6,37.1,2.3,484,初出走,0,,吉岡辰弥,Pivotal,中央,条件・未勝利
2025-10-04,東京,2,2歳未勝利,2歳未勝利,,2000,芝,良,曇,スカイストライプス,横山典弘,牡2,56.0,9,1,2.1,4,2:00.7,34.6,0.4,488,0,840000,,安田翔伍,Equal Stripes,中央,条件・未勝利
2025-10-04,東京,5,メイクデビュー東京,2歳新馬,,1800,芝,良,曇,エコロセレナ,丹内祐次,牝2,55.0,17,9,32.5,11,1:49.5,35.1,1.2,474,初出走,0,,斎藤誠,アドマイヤムーン,中央,条件・未勝利
2025-10-05,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,稍重,小雨,マーゴットガイア,吉村誠之助,牝2,54.0,13,6,16.1,10,1:50.1,35.5,1.3,490,初出走,0,,石坂公一,Camelot,中央,条件・未勝利
2025-10-05,京都,5,メイクデビュー京都,2歳新馬,,1800,芝,稍重,小雨,アオイハルカ,永島まなみ,牝2,53.0,13,3,5.4,13,1:50.4,35.1,1.6,448,初出走,0,,大久保龍志,キングカメハメハ,中央,条件・未勝利
2025-10-05,東京,5,メイクデビュー東京,2歳新馬,,2000,芝,良,晴,ゴーイントゥスカイ,荻野極,牡2,56.0,15,2,4.0,1,2:00.8,34.3,0.0,488,初出走,7500000,,上原佑紀,Tapit,中央,条件・未勝利
2025-10-05,東京,5,メイクデビュー東京,2歳新馬,,2000,芝,良,晴,ルージュバロン,岩田望来,牝2,55.0,15,3,5.7,6,2:01.5,34.4,0.7,466,初出走,0,,福永祐一,Afleet Alex,中央,条件・未勝利
2025-10-05,東京,6,メイクデビュー東京,2歳新馬,,1600,ダート,良,晴,リアライズガイザー,西村淳也,牡2,56.0,16,1,2.1,3,1:40.6,36.6,0.1,508,初出走,1900000,,杉山晴紀,City Zip,中央,条件・未勝利
2025-10-10,ウッドバイン,1,Maiden Special Weight,2yo Maiden,,1700,AW,Fast,晴,Grand Warrior,R M Hernandez,牡2,,6,3,,5,1:50.88,41.6,3.3,,,0,,K Atterd,アグネスデジタル,海外,条件・未勝利
2025-10-11,東京,5,メイクデビュー東京,2歳新馬,,1600,芝,良,雨,レアリゼソンレーヴ,三浦皇成,牡2,56.0,14,7,23.4,6,1:36.8,34.2,0.3,472,初出走,0,,萩原清,Dubawi,中央,条件・未勝利
2025-10-12,京都,3,2歳未勝利,2歳未勝利,,2000,芝,良,曇,アスピラシオン,岩田康誠,牡2,56.0,9,5,20.6,8,2:00.8,36.1,1.3,490,2,0,,上村洋行,Van Nistelrooy,中央,条件・未勝利
